Arrays,,,,
,,,,
12th April,,,,
Eulerian Path in an Undirected Graph,euler-circuit-in-an-undirected-graph,,,https://practice.geeksforgeeks.org/problems/eulerian-path-in-an-undirected-graph/0
Euler Circuit in a Directed Graph,euler-circuit-in-a-directed-graph,,,https://practice.geeksforgeeks.org/problems/euler-circuit-in-a-directed-graph/1
Castle RUN,castle-run,,,https://practice.geeksforgeeks.org/problems/castle-run/0
Min swaps required to sort array,Min swaps,,,https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/
min swaps to make 2 array identical,,.,,https://www.geeksforgeeks.org/minimum-swaps-to-make-two-array-identical/
Little alawan's puzzle,,.,,https://codeforces.com/contest/1534/problem/C
,,,,
7 July,,,,#ERROR!
Sliding Puzzle,,,,https://leetcode.com/problems/sliding-puzzle
K-Similar Strings,k-similar-strings,.,,https://leetcode.com/problems/k-similar-strings
Find the Maximum Flow,Ford fulkerson and Edmond's karp,.,,https://practice.geeksforgeeks.org/problems/find-the-maximum-flow/0
Maximum Bipartite Matching,maximum-bipartite-matching,.,,https://practice.geeksforgeeks.org/problems/maximum-bipartite-matching/1
,,,,
,,,,
12 July,,,,#ERROR!
Reconstruct Itinerary,reconstruct-journey,,,https://leetcode.com/problems/reconstruct-itinerary
Floyd Warshall,floyd-warshall,.,,https://practice.geeksforgeeks.org/problems/implementing-floyd-warshall/0
remove max number of edges to keep graph traversal,,,,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/
Sort item by group accord to dependencies,dependency sort,.,,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/
cheapest flight within k stops,cheapest flight within k stops,.,,https://leetcode.com/problems/cheapest-flights-within-k-stops/
Smallest strings with swaps,(HW),.,,https://leetcode.com/problems/smallest-string-with-swaps/
Bricks Falling when hit,,.,,https://leetcode.com/problems/bricks-falling-when-hit/
Find evantual safe state,,.,,https://leetcode.com/problems/find-eventual-safe-states/
,,,,
,,,,
HW,,,,
Shortest distance from all buildings,https://www.lintcode.com/problem/803/,.,,https://leetcode.com/problems/shortest-distance-from-all-buildings/
Shortest cycle in an undirected graph,,.,,https://www.geeksforgeeks.org/shortest-cycle-in-an-undirected-unweighted-graph/
graph connectivity with threshold,,.,,https://leetcode.com/problems/graph-connectivity-with-threshold/
great graph,,.,,https://codeforces.com/contest/1541/problem/C
crackng the safe,Cracking the safe,.,,https://leetcode.com/problems/cracking-the-safe/
,,,,
HashMap and Heap,,,,
19 July,,,,#ERROR!
X of akind in a deck,X of a kind in a deck,,,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/
Check AP sequence,Check AP sequence,,,https://www.geeksforgeeks.org/check-whether-arithmetic-progression-can-formed-given-array/
Array of doubled Pair,Array of doubled Pair,,,https://leetcode.com/problems/array-of-doubled-pairs/
Morning Assembly,morning assembly,,,https://practice.geeksforgeeks.org/problems/morning-assembly/0
Grid illumination,Grid illumination,,,https://leetcode.com/problems/grid-illumination/
Brick wall,,,,https://leetcode.com/problems/brick-wall/
Minimum number of refueling spots,minimum number of refueling spot,,,https://leetcode.com/problems/minimum-number-of-refueling-stops/
Potions(hard version),,,,https://codeforces.com/contest/1526/problem/C2
Rabbits in forest,Rabbits in a forest,,,https://leetcode.com/problems/rabbits-in-forest/
Longest consecutive sequence,Longest consecutive sequence,,,https://leetcode.com/problems/longest-consecutive-sequence/
,,,,
,,,,
20 July,,,,#ERROR!
number of subarrays sum exactly k,number of subarrays with sum exactly k,,,https://leetcode.com/problems/subarray-sum-equals-k/
Same differences,,https://codeforces.com/contest/1541/problem/B,,https://codeforces.com/contest/1520/problem/D
Subarray sum Divisible by k,Sum divisibe by k,,,https://www.geeksforgeeks.org/count-sub-arrays-sum-divisible-k/
subarray with equal number of 0 and 1,subarray with equal zero and one,,,https://www.geeksforgeeks.org/count-subarrays-equal-number-1s-0s/
Substring with equal 0 1 and 2,substring with equal 0 1 2,,,https://www.geeksforgeeks.org/substring-equal-number-0-1-2/
Count Pair whose sum is divisible by k,Pair sum divisibility(HW),,,https://www.geeksforgeeks.org/count-pairs-in-array-whose-sum-is-divisible-by-k/
Longest consecutive 1's,longest consecutive 1's,,,https://www.geeksforgeeks.org/maximum-consecutive-ones-or-zeros-in-a-binary-array/
Island perimeter,Island perimeter,,,https://leetcode.com/problems/island-perimeter/
The skyline problem,The skyline problem,,,https://leetcode.com/problems/the-skyline-problem/
,,,,
,,,,
21 July,,,,#ERROR!
Pairs of coinciding points,Coinciding points,,,https://practice.geeksforgeeks.org/problems/pairs-of-non-coinciding-points/0
length of largest subarray with continuous element,length of largest subarray with cont element,,,https://www.geeksforgeeks.org/length-largest-subarray-contiguous-elements-set-1/
length of largest subarray with cont element 2,length of largest subarray with cont element 2,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/hashmap-and-heaps/largest-subarray-with-contiguous-elements-official/ojquestion,,https://www.geeksforgeeks.org/length-largest-subarray-contiguous-elements-set-2/
rearrange character string such that no two are same,rearrange such that no two are same,,,https://www.geeksforgeeks.org/rearrange-characters-string-no-two-adjacent/
rearrange k distance apart,rearrange k distance apart,,,https://leetcode.com/problems/rearrange-string-k-distance-apart/
same frequency after one removal,Same after one removal,,,https://www.geeksforgeeks.org/check-if-frequency-of-all-characters-can-become-same-by-one-removal/
Mode of frequencies,Mode of frequencies,,,https://www.codechef.com/LTIME87B/problems/MODEFREQ/
Line reflection,Line reflection,https://www.lintcode.com/problem/line-reflection/description,https://www.lintcode.com/problem/line-reflection/description,https://leetcode.com/problems/line-reflection/
Insert Delete GetRandom O(1),Insert delete GetRand O(1),,,https://leetcode.com/problems/insert-delete-getrandom-o1/
Insert delete get random duplicates allowed,Insert delete GetRand O(1) with duplicates,,,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/
,,,,
,,,,
26 July,,,,#ERROR!
Random pick with blacklist,random pick with blacklist,,,https://leetcode.com/problems/random-pick-with-blacklist/
Find all anagrams in a string,Find all anagram,,,https://leetcode.com/problems/find-all-anagrams-in-a-string/
Anagram Pallindrome,Anagram pallindrome,,,https://www.geeksforgeeks.org/check-anagram-string-palindrome-not/
Find smallest size of string containing all char of other,Smallest window string,,,https://leetcode.com/problems/minimum-window-substring/
Group anagram,Group angram,,,https://leetcode.com/problems/group-anagrams/
longest substring with unique character,longest substring with unique character,,,https://www.geeksforgeeks.org/length-of-the-longest-substring-without-repeating-characters/
Find Anagram Mapping,Find anagram mapping,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/hashmap-and-heaps/find-anagram-mappings-official/ojquestion,,https://www.cnblogs.com/grandyang/p/8570939.html
K anagram,K anagram,,,https://www.geeksforgeeks.org/check-two-strings-k-anagrams-not/
smallest subarray with all the occurence of MFE,Smallest subarray with all MFE,,,https://www.geeksforgeeks.org/smallest-subarray-with-all-occurrences-of-a-most-frequent-element/
,,,,
27 July,,,,#ERROR!
A simple fraction,A simple fraction,,,https://practice.geeksforgeeks.org/problems/a-simple-fraction/0
Employee Free time,Employee free time,https://www.lintcode.com/problem/850/,,https://leetcode.com/problems/employee-free-time/
Kth smallest element in sorted 2d matrix,kth smallest in 2d matrix,,,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
Kth smallest prime fraction,Kth smallest prime,,,https://leetcode.com/problems/k-th-smallest-prime-fraction/
Isomorphic string,Isomorphic string,,,https://leetcode.com/problems/isomorphic-strings/
minimum cost to connect sticks,minimum cost to connect sticks,,,https://leetcode.com/problems/minimum-cost-to-connect-sticks/
,,,,
,,,,
28 July,,,,#ERROR!
minimum time to build blocks,minimum time to build blocks,http://lixinchengdu.github.io/algorithmbook/leetcode/minimum-time-to-build-blocks.html,,https://leetcode.com/problems/minimum-time-to-build-blocks/
